Reaction,temperature,pressure,M,k,ln_unc_k,W,,Group,Ref
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.84,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.84,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.86,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.82,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.9,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.89,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.89,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.94,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.92,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.92,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.91,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.91,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.92,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.84,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.85,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.82,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.84,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.82,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.81,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.83,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.85,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.84,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.87,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> 2 OH / H + HO2 <=>*,298,1,0,0.87,0.405465108,0.169030851,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.06,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.07,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.08,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.07,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.02,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.04,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.03,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.02,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.02,0.405465108,0.188982237,,C,"U.C. Sridharan, L.X. Qiu, F. Kaufman. Kinetics and Product Channels of the Reactions of HO2 with O and H Atoms at 296 K. Journal of Physical Chemistry 86 (1982) 4569-4574."
H + HO2 <=> H2O + O / H + HO2 <=>*,298,1,0,0.05,0.405465108,0.188982237,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1478 "
H + HO2 <=> H2 + O2,2097,1,0,3.40E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1479"
H + HO2 <=> H2 + O2,1927,1,0,3.36E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1480"
H + HO2 <=> H2 + O2,1897,1,0,4.24E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1481"
H + HO2 <=> H2 + O2,1907,1,0,8.71E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1482"
H + HO2 <=> H2 + O2,1848,1,0,6.99E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1483"
H + HO2 <=> H2 + O2,2063,1,0,3.54E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1484"
H + HO2 <=> H2 + O2,1981,1,0,4.00E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1485"
H + HO2 <=> H2 + O2,1826,1,0,8.41E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1486"
H + HO2 <=> H2 + O2,1960,1,0,2.91E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1487"
H + HO2 <=> H2 + O2,1819,1,0,2.86E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1488"
H + HO2 <=> H2 + O2,1851,1,0,2.05E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1489"
H + HO2 <=> H2 + O2,1891,1,0,5.43E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1490"
H + HO2 <=> H2 + O2,1810,1,0,7.72E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1491"
H + HO2 <=> H2 + O2,1679,1,0,1.63E+14,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1492"
H + HO2 <=> H2 + O2,1948,1,0,4.78E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1493"
H + HO2 <=> H2 + O2,1974,1,0,2.89E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1494"
H + HO2 <=> H2 + O2,1963,1,0,3.71E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1495"
H + HO2 <=> H2 + O2,2002,1,0,3.01E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1496"
H + HO2 <=> H2 + O2,1881,1,0,4.28E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1497"
H + HO2 <=> H2 + O2,1844,1,0,6.51E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1498"
H + HO2 <=> H2 + O2,1698,1,0,4.05E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1499"
H + HO2 <=> H2 + O2,1838,1,0,3.19E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1500"
H + HO2 <=> H2 + O2,1819,1,0,2.32E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1501"
H + HO2 <=> H2 + O2,1785,1,0,2.40E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1502"
H + HO2 <=> H2 + O2,1662,1,0,6.20E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1503"
H + HO2 <=> H2 + O2,1704,1,0,3.82E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1504"
H + HO2 <=> H2 + O2,1950,1,0,2.82E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1505"
H + HO2 <=> H2 + O2,1822,1,0,3.48E+13,0.405465108,1.00E-10,,C,"J.V. Michael, J.W. Sutherland, L.B. Harding, A.F. Wagner. Initiation in H2/O2: Rate Constants for H2 + O2 _ H + HO2 at High Temperature. Proceedings of the Combustion Institute 28 (2000) 1471 1506"
H + HO2 <=> H2 + O2,773,1,0,9.26E+12,0.405465108,1.00E+00,,C,"R.R. Baldwin, R.W. Walker. Rate Constants for Hydrogen + Oxygen System, and for H Atoms and OH Radicals + Alkanes. Journal of Chemical Society Faraday Transactions (1979) 140-154"
H + HO2 <=> 2 OH,773,1,0,6.21E+13,0.3,1.00E+00,should this be weighted more? Was at .405 trying .3,C,"R.R. Baldwin, R.W. Walker. Rate Constants for Hydrogen + Oxygen System, and for H Atoms and OH Radicals + Alkanes. Journal of Chemical Society Faraday Transactions (1979) 140-155"
CH3 + OH <=>*,1192,1,0,1.80E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1245,1,0,1.70E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1284,1,0,1.60E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1348,1,0,1.75E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1105,1,0,2.70E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1143,1,0,2.35E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1211,1,0,1.75E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1268,1,0,1.70E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1397,1,0,1.80E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1426,1,0,1.50E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1263,1,0,2.20E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1147,1,0,2.80E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1081,1,0,2.90E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1339,1,0,2.50E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1425,1,0,2.60E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1155,1,0,2.32E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1048,1,0,2.64E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,867,1,0,3.64E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1121,1,0,3.26E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,999,1,0,2.17E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1107,1,0,1.78E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,834,1,0,2.20E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1058,1,0,2.16E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,914,1,0,2.37E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,974,1,0,2.34E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1176,1,0,3.03E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1080,1,0,2.40E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,935,1,0,2.84E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,906,1,0,3.82E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,864,1,0,2.99E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1084,1,0,2.93E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1073,1,0,3.75E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1817,1,0,1.21E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2104,1,0,8.85E+12,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2175,1,0,2.26E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2348,1,0,2.14E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2383,1,0,1.52E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2304,1,0,2.26E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2072,1,0,1.97E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2094,1,0,1.15E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,1972,1,0,1.38E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2126,1,0,1.78E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2100,1,0,1.78E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2057,1,0,2.12E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2072,1,0,1.36E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2112,1,0,1.80E+13,0.405465108,1.00E-10,,I,
CH3 + OH <=>*,2103,1,0,1.34E+13,0.405465108,1.00E-10,,I,
